date,precipitation,temp_max,temp_min,wind,weather,cycle,Drizzle,Rain,Sun,Snow,Fog
1/1/12,0,12.8,5,4.7,drizzle,1/1/90,12.8,#N/A,#N/A,#N/A,#N/A
1/2/12,10.9,10.6,2.8,4.5,rain,1/2/90,#N/A,10.6,#N/A,#N/A,#N/A
1/3/12,0.8,11.7,7.2,2.3,rain,1/3/90,#N/A,11.7,#N/A,#N/A,#N/A
1/4/12,20.3,12.2,5.6,4.7,rain,1/4/90,#N/A,12.2,#N/A,#N/A,#N/A
1/5/12,1.3,8.9,2.8,6.1,rain,1/5/90,#N/A,8.9,#N/A,#N/A,#N/A
1/6/12,2.5,4.4,2.2,2.2,rain,1/6/90,#N/A,4.4,#N/A,#N/A,#N/A
1/7/12,0,7.2,2.8,2.3,rain,1/7/90,#N/A,7.2,#N/A,#N/A,#N/A
1/8/12,0,10,2.8,2,sun,1/8/90,#N/A,#N/A,10,#N/A,#N/A
1/9/12,4.3,9.4,5,3.4,rain,1/9/90,#N/A,9.4,#N/A,#N/A,#N/A
1/10/12,1,6.1,0.6,3.4,rain,1/10/90,#N/A,6.1,#N/A,#N/A,#N/A
1/11/12,0,6.1,-1.1,5.1,sun,1/11/90,#N/A,#N/A,6.1,#N/A,#N/A
1/12/12,0,6.1,-1.7,1.9,sun,1/12/90,#N/A,#N/A,6.1,#N/A,#N/A
1/13/12,0,5,-2.8,1.3,sun,1/13/90,#N/A,#N/A,5,#N/A,#N/A
1/14/12,4.1,4.4,0.6,5.3,snow,1/14/90,#N/A,#N/A,#N/A,4.4,#N/A
1/15/12,5.3,1.1,-3.3,3.2,snow,1/15/90,#N/A,#N/A,#N/A,1.1,#N/A
1/16/12,2.5,1.7,-2.8,5,snow,1/16/90,#N/A,#N/A,#N/A,1.7,#N/A
1/17/12,8.1,3.3,0,5.6,snow,1/17/90,#N/A,#N/A,#N/A,3.3,#N/A
1/18/12,19.8,0,-2.8,5,snow,1/18/90,#N/A,#N/A,#N/A,0,#N/A
1/19/12,15.2,-1.1,-2.8,1.6,snow,1/19/90,#N/A,#N/A,#N/A,-1.1,#N/A
1/20/12,13.5,7.2,-1.1,2.3,snow,1/20/90,#N/A,#N/A,#N/A,7.2,#N/A
1/21/12,3,8.3,3.3,8.2,rain,1/21/90,#N/A,8.3,#N/A,#N/A,#N/A
1/22/12,6.1,6.7,2.2,4.8,rain,1/22/90,#N/A,6.7,#N/A,#N/A,#N/A
1/23/12,0,8.3,1.1,3.6,rain,1/23/90,#N/A,8.3,#N/A,#N/A,#N/A
1/24/12,8.6,10,2.2,5.1,rain,1/24/90,#N/A,10,#N/A,#N/A,#N/A
1/25/12,8.1,8.9,4.4,5.4,rain,1/25/90,#N/A,8.9,#N/A,#N/A,#N/A
1/26/12,4.8,8.9,1.1,4.8,rain,1/26/90,#N/A,8.9,#N/A,#N/A,#N/A
1/27/12,0,6.7,-2.2,1.4,drizzle,1/27/90,6.7,#N/A,#N/A,#N/A,#N/A
1/28/12,0,6.7,0.6,2.2,rain,1/28/90,#N/A,6.7,#N/A,#N/A,#N/A
1/29/12,27.7,9.4,3.9,4.5,rain,1/29/90,#N/A,9.4,#N/A,#N/A,#N/A
1/30/12,3.6,8.3,6.1,5.1,rain,1/30/90,#N/A,8.3,#N/A,#N/A,#N/A
1/31/12,1.8,9.4,6.1,3.9,rain,1/31/90,#N/A,9.4,#N/A,#N/A,#N/A
2/1/12,13.5,8.9,3.3,2.7,rain,2/1/90,#N/A,8.9,#N/A,#N/A,#N/A
2/2/12,0,8.3,1.7,2.6,sun,2/2/90,#N/A,#N/A,8.3,#N/A,#N/A
2/3/12,0,14.4,2.2,5.3,sun,2/3/90,#N/A,#N/A,14.4,#N/A,#N/A
2/4/12,0,15.6,5,4.3,sun,2/4/90,#N/A,#N/A,15.6,#N/A,#N/A
2/5/12,0,13.9,1.7,2.9,sun,2/5/90,#N/A,#N/A,13.9,#N/A,#N/A
2/6/12,0,16.1,1.7,5,sun,2/6/90,#N/A,#N/A,16.1,#N/A,#N/A
2/7/12,0.3,15.6,7.8,5.3,rain,2/7/90,#N/A,15.6,#N/A,#N/A,#N/A
2/8/12,2.8,10,5,2.7,rain,2/8/90,#N/A,10,#N/A,#N/A,#N/A
2/9/12,2.5,11.1,7.8,2.4,rain,2/9/90,#N/A,11.1,#N/A,#N/A,#N/A
2/10/12,2.5,12.8,6.7,3,rain,2/10/90,#N/A,12.8,#N/A,#N/A,#N/A
2/11/12,0.8,8.9,5.6,3.4,rain,2/11/90,#N/A,8.9,#N/A,#N/A,#N/A
2/12/12,1,8.3,5,1.3,rain,2/12/90,#N/A,8.3,#N/A,#N/A,#N/A
2/13/12,11.4,7.2,4.4,1.4,rain,2/13/90,#N/A,7.2,#N/A,#N/A,#N/A
2/14/12,2.5,6.7,1.1,3.1,rain,2/14/90,#N/A,6.7,#N/A,#N/A,#N/A
2/15/12,0,7.2,0.6,1.8,drizzle,2/15/90,7.2,#N/A,#N/A,#N/A,#N/A
2/16/12,1.8,7.2,3.3,2.1,rain,2/16/90,#N/A,7.2,#N/A,#N/A,#N/A
2/17/12,17.3,10,4.4,3.4,rain,2/17/90,#N/A,10,#N/A,#N/A,#N/A
2/18/12,6.4,6.7,3.9,8.1,rain,2/18/90,#N/A,6.7,#N/A,#N/A,#N/A
2/19/12,0,6.7,2.2,4.7,sun,2/19/90,#N/A,#N/A,6.7,#N/A,#N/A
2/20/12,3,7.8,1.7,2.9,rain,2/20/90,#N/A,7.8,#N/A,#N/A,#N/A
2/21/12,0.8,10,7.8,7.5,rain,2/21/90,#N/A,10,#N/A,#N/A,#N/A
2/22/12,8.6,10,2.8,5.9,rain,2/22/90,#N/A,10,#N/A,#N/A,#N/A
2/23/12,0,8.3,2.8,3.9,sun,2/23/90,#N/A,#N/A,8.3,#N/A,#N/A
2/24/12,11.4,6.7,4.4,3.5,rain,2/24/90,#N/A,6.7,#N/A,#N/A,#N/A
2/25/12,0,7.2,2.8,6.4,rain,2/25/90,#N/A,7.2,#N/A,#N/A,#N/A
2/26/12,1.3,5,-1.1,3.4,snow,2/26/90,#N/A,#N/A,#N/A,5,#N/A
2/27/12,0,6.7,-2.2,3,sun,2/27/90,#N/A,#N/A,6.7,#N/A,#N/A
2/28/12,3.6,6.7,-0.6,4.2,snow,2/28/90,#N/A,#N/A,#N/A,6.7,#N/A
3/1/12,0,6.1,1.1,3.1,sun,3/1/90,#N/A,#N/A,6.1,#N/A,#N/A
3/2/12,2,6.7,3.9,5.1,rain,3/2/90,#N/A,6.7,#N/A,#N/A,#N/A
3/3/12,0,12.2,6.7,7,sun,3/3/90,#N/A,#N/A,12.2,#N/A,#N/A
3/4/12,0,10.6,6.7,5.6,rain,3/4/90,#N/A,10.6,#N/A,#N/A,#N/A
3/5/12,6.9,7.8,1.1,6.2,rain,3/5/90,#N/A,7.8,#N/A,#N/A,#N/A
3/6/12,0.5,6.7,0,2.7,snow,3/6/90,#N/A,#N/A,#N/A,6.7,#N/A
3/7/12,0,8.9,-1.7,2.7,sun,3/7/90,#N/A,#N/A,8.9,#N/A,#N/A
3/8/12,0,15.6,0.6,2.5,sun,3/8/90,#N/A,#N/A,15.6,#N/A,#N/A
3/9/12,3.6,9.4,5,2.8,rain,3/9/90,#N/A,9.4,#N/A,#N/A,#N/A
